datetime,AAVE,COMP,LINK,MATIC,SHIB,SOL,SUSHI,UNI,USDC,USDT,WBTC
01-01-2025 00:00,320.5722500883961,77.87574871,21.67409118157077,0.4713317800994493,2.1433637449465804e-05,0.004727656,1.3684537930525802,13.618286859783039,1,1,94420.31770376845
02-01-2025 00:00,331.95772091644665,78.40042447,22.00423089234587,0.4807158242179752,2.2618487077997604e-05,0.004727656,1.4350089628830194,14.277112540723982,1,1,96627.64294914124
03-01-2025 00:00,351.4967850448012,85.24999304272504,23.462232885351035,0.5186261498018162,2.4295926065533018e-05,0.004727656,1.7799467217905396,15.203237833544854,1,1,98189.46490925361
04-01-2025 00:00,352.4873106509357,84.85961857122946,23.66131981458667,0.5227241292726788,2.445969993359258e-05,0.004727656,1.8492775985331253,15.303692336732771,1,1,98204.80206757343
05-01-2025 00:00,342.41615876884646,84.70632321229499,23.64293671081902,0.5142779663083449,2.3789140422851663e-05,0.004727656,1.7820755157161856,15.15962328468841,1,1,98092.64418023059
06-01-2025 00:00,339.5286888,84.51309514317398,23.783716786321815,0.5201178005251111,2.414685541638247e-05,0.004727656,1.7857602014036855,15.05334074897924,1,1,101634.04840654053
07-01-2025 00:00,306.65334551261105,75.99909533350586,21.468858016846536,0.47060339873702806,2.195618880898037e-05,0.004727656,1.5803615221662413,13.570339047649153,1,1,96849.02181146953
08-01-2025 00:00,294.0740842982733,72.43484454,20.467017016329983,0.461683253,2.1327307542590885e-05,0.004727656,1.4943781474805862,13.08920311631064,1,1,95073.06428
09-01-2025 00:00,281.0673804893995,71.35371138982688,19.67524680579869,0.4474013319344362,2.1060233725473544e-05,0.004727656,1.4898778935643269,12.876971342541518,1,1,92324.44276040106
10-01-2025 00:00,286.31593177742025,77.19444743542458,20.316593741040272,0.4567970469379939,2.145585510397263e-05,0.004727656,1.4909269717865736,13.957469514585366,1,1,94647.80455674235
11-01-2025 00:00,288.87009878570694,80.08405881163634,20.284057687026543,0.45912368086674377,2.2293456431443813e-05,0.004727656,1.4808092809689657,13.71373664878648,1,1,94399.27110155333
12-01-2025 00:00,288.2782159952942,77.37942882329787,19.81037019547006,0.4487860402448209,2.1660539578198765e-05,0.004727656,1.4204078173476302,13.59989884301404,1,1,94305.9676
13-01-2025 00:00,289.1421063264769,73.22319761853072,19.375389981677646,0.43710058546933406,2.1032149062334356e-05,0.004727656,1.3963646323453673,12.900886439531916,1,1,94203.01908439753
14-01-2025 00:00,296.8413870191846,75.91846712042245,20.37563712766373,0.4555253940892989,2.1709639583187967e-05,0.004727656,1.431635842,13.343169805569678,1,1,96495.29665
15-01-2025 00:00,319.6369950027938,83.18787382141105,22.081757119050344,0.48353190326864665,2.2572482962594928e-05,0.004727656,1.6581714473482068,14.55250551313823,1,1,99823.03355971769
16-01-2025 00:00,309.99320459893454,80.36104580627483,22.95199935,0.4706534806540168,2.2102985894207123e-05,0.004727656,1.5904307469249919,14.081635106964754,1,1,99695.09158302408
17-01-2025 00:00,335.75497183588465,89.81424553265356,25.06406204,0.5048179555193223,2.4144575988041352e-05,0.004727656,1.721019296743611,15.00118126488568,1,1,104031.95463462638
18-01-2025 00:00,316.22752825605346,83.45896648942134,24.06461044197558,0.4799561137904211,2.2593119419302872e-05,0.004727656,1.4999559521130192,14.15222157118057,1,1,104201.34147485784
19-01-2025 00:00,309.39620852011745,80.09794044752024,24.27739576348063,0.4399862022240871,2.057448809355055e-05,0.004727656,1.5237608806023075,13.240580005587455,1,1,100983.78282653142
20-01-2025 00:00,337.3217612390195,81.97785855079508,25.048113777147172,0.43952825150943775,2.0297089863831226e-05,0.004727656,1.3935598277180474,13.493954042531053,1,1,101907.41089785243
